TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N132CG,2025-08-14,"Durango-La Plata County (KDRO)","Casper/Natrona County Intl (KCPR)","Stoner Mesa Fire - COSJF",2025-07-28,2025-08-14,29.85
N132CG,2025-08-14,"Durango-La Plata County (KDRO)","Casper/Natrona County Intl (KCPR)","Lee Fire - COWRD",2025-08-02,2025-08-14,28.80
N132CG,2025-08-13,"Grand Junction Rgnl (KGJT)","Durango-La Plata County (KDRO)","Crosho Fire - CORTF",2025-08-11,2025-08-14,28.58
N132CG,2025-08-13,"Colorado Sprgs Muni (KCOS)","Grand Junction Rgnl (KGJT)","Crosho Fire - CORTF",2025-08-11,2025-08-14,27.71
N132CG,2025-08-13,"Durango-La Plata County (KDRO)","Colorado Sprgs Muni (KCOS)","Crosho Fire - CORTF",2025-08-11,2025-08-14,27.93
N136CG,2025-08-14,"Mc Call Muni (KMYL)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.85
N136CG,2025-08-14,"Mc Call Muni (KMYL)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.88
N136CG,2025-08-14,"Gowen Field (KBOI)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,28.01
N136CG,2025-08-13,"Gowen Field (KBOI)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,29.46
N136CG,2025-08-13,"Gowen Field (KBOI)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,26.94
N136CG,2025-08-13,"Mc Call Muni (KMYL)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.93
N136CG,2025-08-13,"Mc Call Muni (KMYL)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.88
N136CG,2025-08-13,"Mc Call Muni (KMYL)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.88
N136CG,2025-08-13,"Mc Call Muni (KMYL)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,23.84
N136CG,2025-08-13,"Gowen Field (KBOI)","Mc Call Muni (KMYL)","Rock Fire - IDBOF",2025-08-13,2025-08-14,28.11
N136CG,2025-08-13,"Gowen Field (KBOI)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,29.10
N136CG,2025-08-13,"Redding Rgnl (KRDD)","Gowen Field (KBOI)","Rock Fire - IDBOF",2025-08-13,2025-08-14,29.58
N137CG,2025-08-14,"Coeur D'Alene/Pappy Boyington Fld (KCOE)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,28.75
N137CG,2025-08-14,"Coeur D'Alene/Pappy Boyington Fld (KCOE)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,29.63
N137CG,2025-08-14,"Coeur D'Alene/Pappy Boyington Fld (KCOE)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,29.33
N137CG,2025-08-14,"Coeur D'Alene/Pappy Boyington Fld (KCOE)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,29.33
N137CG,2025-08-14,"Coeur D'Alene/Pappy Boyington Fld (KCOE)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,29.09
N137CG,2025-08-14,"Sacramento McClellan (KMCC)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Central Ferry - WANES",2025-08-13,2025-08-14,27.18
N137CG,2025-08-14,"Sacramento McClellan (KMCC)","Coeur D'Alene/Pappy Boyington Fld (KCOE)","Sunset Fire - IDIDS",2025-08-13,2025-08-14,29.84
N137CG,2025-08-14,"Near Santa Paula, CA","Sacramento McClellan (KMCC)","King Fire - CAANF",2025-08-13,2025-08-14,4.83
N137CG,2025-08-14,"Sacramento McClellan (KMCC)","Near Santa Paula, CA","King Fire - CAANF",2025-08-13,2025-08-14,29.15
N140CG,2025-08-13,"Roberts Fld (KRDM)","Roberts Fld (KRDM)","Central Ferry - WANES",2025-08-13,2025-08-14,28.06
N140CG,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.58
N140CG,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.63
N140CG,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.57
N140CG,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.82
N291EA,2025-08-12,"Santa Maria (KSMX)","General Wm J Fox Airfield (KWJF)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.80
N291EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.64
N291EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.73
N291EA,2025-08-12,"General Wm J Fox Airfield (KWJF)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.49
N292EA,2025-08-14,"General Wm J Fox Airfield (KWJF)","General Wm J Fox Airfield (KWJF)","King Fire - CAANF",2025-08-13,2025-08-14,28.05
N292EA,2025-08-14,"Santa Maria (KSMX)","General Wm J Fox Airfield (KWJF)","King Fire - CAANF",2025-08-13,2025-08-14,26.65
N292EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.54
N292EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.42
N292EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.63
N292EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,29.86
N292EA,2025-08-12,"Santa Maria (KSMX)","Santa Maria (KSMX)","Gifford Fire - CALPF",2025-08-01,2025-08-14,28.87
N293EA,2025-08-14,"Phoenix-Mesa Gateway (KIWA)","Phoenix-Mesa Gateway (KIWA)","Washington Fire - AZTNF",2025-08-13,2025-08-14,27.41
N293EA,2025-08-14,"Phoenix-Mesa Gateway (KIWA)","Phoenix-Mesa Gateway (KIWA)","Washington Fire - AZTNF",2025-08-13,2025-08-14,28.92
N293EA,2025-08-14,"Phoenix-Mesa Gateway (KIWA)","Phoenix-Mesa Gateway (KIWA)","Washington Fire - AZTNF",2025-08-13,2025-08-14,29.26
N293EA,2025-08-14,"Phoenix-Mesa Gateway (KIWA)","Phoenix-Mesa Gateway (KIWA)","Washington Fire - AZTNF",2025-08-13,2025-08-14,27.88
N293EA,2025-08-14,"Phoenix-Mesa Gateway (KIWA)","Phoenix-Mesa Gateway (KIWA)","Washington Fire - AZTNF",2025-08-13,2025-08-14,29.14
