TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.83
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.16
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.18
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.50
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.09
N132CG,2025-08-03,Unknown,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.24
N132CG,2025-08-03,Unknown,Cedar City Rgnl (KCDC),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.08
N132CG,2025-08-03,Unknown,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,29.64
N132CG,2025-08-03,Unknown,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,27.86
N132CG,2025-08-02,Unknown,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,28.86
N132CG,2025-07-27,Unknown,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,27.72
N132CG,2025-07-27,Unknown,Coeur D'Alene/Pappy Boyington Fld (KCOE),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,26.77
N132CG,2025-07-16,Unknown,Coeur D'Alene/Pappy Boyington Fld (KCOE),Hagelstein Fire - OR98S,2025-07-14,2025-08-07,26.68
N136CG,2025-07-30,Unknown,Casper/Natrona County Intl (KCPR),Turner Gulch - COGRD,2025-07-10,2025-08-07,26.68
N136CG,2025-07-25,Unknown,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,28.19
N136CG,2025-07-25,Unknown,Durango-La Plata County (KDRO),Turner Gulch - COGRD,2025-07-10,2025-08-07,29.26
N136CG,2025-07-15,Unknown,Durango-La Plata County (KDRO),Deer Creek - UTMLF,2025-07-10,2025-07-26,27.63
N137CG,2025-08-07,B733,Phoenix-Mesa Gateway (KIWA),Bronco Fire - AZSCA,2025-08-03,2025-08-07,27.41
N137CG,2025-08-07,B733,Phoenix-Mesa Gateway (KIWA),Bronco Fire - AZSCA,2025-08-03,2025-08-07,29.13
N137CG,2025-08-07,B733,Phoenix-Mesa Gateway (KIWA),Bronco Fire - AZSCA,2025-08-03,2025-08-07,29.50
N137CG,2025-08-07,B733,Phoenix-Mesa Gateway (KIWA),Bronco Fire - AZSCA,2025-08-03,2025-08-07,28.60
N137CG,2025-08-07,B733,Cedar City Rgnl (KCDC),Bronco Fire - AZSCA,2025-08-03,2025-08-07,29.56
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,17.05
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.72
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,27.11
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.41
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,29.16
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.63
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,28.95
N137CG,2025-08-06,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,28.03
N137CG,2025-08-05,B733,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,28.55
N137CG,2025-08-05,B733,San Bernardino Intl (KSBD),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.91
N137CG,2025-08-05,B733,San Bernardino Intl (KSBD),Rosa Fire - CABDF,2025-08-04,2025-08-07,29.18
N137CG,2025-08-05,B733,San Bernardino Intl (KSBD),Rosa Fire - CABDF,2025-08-04,2025-08-07,28.03
N137CG,2025-08-05,B733,San Bernardino Intl (KSBD),Rosa Fire - CABDF,2025-08-04,2025-08-07,28.38
N137CG,2025-08-05,B733,San Bernardino Intl (KSBD),Rosa Fire - CABDF,2025-08-04,2025-08-07,26.12
N137CG,2025-08-05,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,28.63
N137CG,2025-08-05,B733,Grand Junction Rgnl (KGJT),Rosa Fire - CABDF,2025-08-04,2025-08-07,27.89
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,28.84
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,28.95
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,27.75
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,29.17
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,29.67
N137CG,2025-08-04,B733,Colorado Sprgs Muni (KCOS),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,27.58
N137CG,2025-08-04,B733,Colorado Sprgs Muni (KCOS),Lee Fire - COWRD,2025-08-02,2025-08-07,28.39
N137CG,2025-08-04,B733,Colorado Sprgs Muni (KCOS),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,27.58
N137CG,2025-08-04,B733,Colorado Sprgs Muni (KCOS),Lee Fire - COWRD,2025-08-02,2025-08-07,28.39
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,28.72
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Leroux Fire - COMRD,2025-08-03,2025-08-07,29.25
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Leroux Fire - COMRD,2025-08-03,2025-08-07,27.58
N137CG,2025-08-04,B733,Grand Junction Rgnl (KGJT),Leroux Fire - COMRD,2025-08-03,2025-08-07,26.99
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,26.35
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,28.95
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,29.85
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,28.20
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,29.82
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,27.36
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,28.74
N137CG,2025-08-03,B733,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,26.17
N137CG,2025-08-02,B733,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,25.87
N137CG,2025-08-02,B733,Grand Junction Rgnl (KGJT),Lee Fire - COWRD,2025-08-02,2025-08-07,29.87
