ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"2025 Madre Fire - CALPF",Wildfire,California,"80,779 Acres","1 week 3 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224",""
2025-07-27,"2025 Madre Fire - CALPF",Wildfire,California,"80,779 Acres","1 week 3 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224",""
2025-07-28,"2025 Madre Fire - CALPF",Wildfire,California,"80,779 Acres","1 week 4 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-07-29,"2025 Madre Fire - CALPF",Wildfire,California,"80,779 Acres","1 week 5 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-07-30,"2025 Madre Fire - CALPF",Wildfire,California,"80,779 Acres","1 week 6 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-07-31,"2025 Madre Fire - CALPF","Wildfire","California","80,779 Acres","2 weeks ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-08-01,"2025 Madre Fire - CALPF","Wildfire","California","80,779 Acres","2 weeks 1 day ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-08-02,"2025 Madre Fire - CALPF","Wildfire","California","80,779 Acres","2 weeks 2 days ago","Wed, 07/16/2025 - 21:04","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","224","97%"
2025-08-03,"2025 Madre Fire - CALPF","Wildfire","California","80,779 Acres","15 hours 45 minutes ago","Sat, 08/02/2025 - 19:39","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","0","100%"
2025-08-04,"2025 Madre Fire - CALPF","Wildfire","California","80,779 Acres","1 day 15 hours ago","Sat, 08/02/2025 - 19:39","Pacific Standard Time","Wildfire","Under Investigation","Wed, 07/02/2025 - 13:07","Cuyama Highway and Gypsum Canyon, West of New Cuyama","Unified Command with CA IIMT Team 8 , US Forest Service Los Padres National Forest, and Bureau of Land Management","35° 05' 46.2'', -120° 02' 48.5 ''","35° 05' 46.2''","-120° 02' 48.5 ''","0","100%"
