ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"2025 Marble Complex - CAKNF",Wildfire,California,"747 Acres","1 week 1 day ago","Fri, 07/18/2025 - 12:24","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293",""
2025-07-27,"2025 Marble Complex - CAKNF",Wildfire,California,"747 Acres","1 week 1 day ago","Fri, 07/18/2025 - 12:24","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293",""
2025-07-28,"2025 Marble Complex - CAKNF",Wildfire,California,"747 Acres","1 week 2 days ago","Fri, 07/18/2025 - 12:24","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","70%"
2025-07-29,"2025 Marble Complex - CAKNF",Wildfire,California,"747 Acres","1 week 3 days ago","Fri, 07/18/2025 - 12:24","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","70%"
2025-07-30,"2025 Marble Complex - CAKNF",Wildfire,California,"747 Acres","22 hours 7 minutes ago","Tue, 07/29/2025 - 13:18","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","90%"
2025-07-31,"2025 Marble Complex - CAKNF","Wildfire","California","747 Acres","1 day 22 hours ago","Tue, 07/29/2025 - 13:18","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","90%"
2025-08-01,"2025 Marble Complex - CAKNF","Wildfire","California","747 Acres","2 days 22 hours ago","Tue, 07/29/2025 - 13:18","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","90%"
2025-08-02,"2025 Marble Complex - CAKNF","Wildfire","California","747 Acres","3 days 22 hours ago","Tue, 07/29/2025 - 13:18","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","90%"
2025-08-03,"2025 Marble Complex - CAKNF","Wildfire","California","747 Acres","15 hours 13 minutes ago","Sat, 08/02/2025 - 20:11","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","100%"
2025-08-04,"2025 Marble Complex - CAKNF","Wildfire","California","747 Acres","1 day 15 hours ago","Sat, 08/02/2025 - 20:11","","Wildfire","Lightning","Mon, 06/30/2025 - 17:00","Klamath National Forest","California Complex Interagency Incident Management Team 9
Incident Commanders: Clint Gould, James Snow and Jeff Crandall (T)","41° 31' 19.22'', -123° 8' 53.78 ''","41° 31' 19.22''","-123° 8' 53.78 ''","293","100%"
