ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"2025 Shasta-Trinity Lightning - CASHF",Wildfire,California,"","1 week 5 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-07-27,"2025 Shasta-Trinity Lightning - CASHF",Wildfire,California,"","1 week 5 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-07-28,"2025 Shasta-Trinity Lightning - CASHF",Wildfire,California,"","1 week 6 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-07-29,"2025 Shasta-Trinity Lightning - CASHF",Wildfire,California,"","2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-07-30,"2025 Shasta-Trinity Lightning - CASHF",Wildfire,California,"","2 weeks 1 day ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-07-31,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","2 weeks 2 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-01,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","2 weeks 3 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-02,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","2 weeks 4 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-03,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","2 weeks 5 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-04,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","2 weeks 6 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-05,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-06,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 1 day ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-07,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 2 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-08,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 3 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-09,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 5 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-10,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 5 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-11,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","3 weeks 6 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-13,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","4 weeks 2 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-14,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","4 weeks 2 days ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-22,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-23,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-24,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-25,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-26,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-27,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-28,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 1 week ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-29,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-30,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-08-31,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-01,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-02,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-03,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-04,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 2 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-05,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 3 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-06,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 3 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
2025-09-07,"2025 Shasta-Trinity Lightning - CASHF","Wildfire","California","","1 month 3 weeks ago","Mon, 07/14/2025 - 14:15","Pacific Standard Time","Wildfire","Lightning","Tue, 07/01/2025 - 00:01","Shasta-Trinity National Forest","Most of these fires were caused by lightning strikes. The forest saw more than 3,100 lightning strikes over the previous 48 hours.","40° 52' 20.73'', -121° 59' 25.7496 ''","40° 52' 20.73''","-121° 59' 25.7496 ''","",""
