ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"Barber Fire - NVWID",Wildfire,Nevada,"17,583 Acres","2 weeks 1 day ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77",""
2025-07-27,"Barber Fire - NVWID",Wildfire,Nevada,"17,583 Acres","2 weeks 1 day ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77",""
2025-07-28,"Barber Fire - NVWID",Wildfire,Nevada,"17,583 Acres","2 weeks 2 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-07-29,"Barber Fire - NVWID",Wildfire,Nevada,"17,583 Acres","2 weeks 3 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-07-30,"Barber Fire - NVWID",Wildfire,Nevada,"17,583 Acres","2 weeks 4 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-07-31,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","2 weeks 5 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-01,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","2 weeks 6 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-02,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-03,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 1 day ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-04,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 2 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-05,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 3 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-06,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 4 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-07,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 5 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-08,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","3 weeks 6 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-10,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","4 weeks 1 day ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
2025-08-11,"Barber Fire - NVWID","Wildfire","Nevada","17,583 Acres","4 weeks 2 days ago","Fri, 07/11/2025 - 17:45","Pacific Standard Time","Wildfire","Lightning","Thu, 07/03/2025 - 21:52","11 Miles S of Winnemucca, NV","Bureau of Land Management","40° 42' 87'', -117° 51' 52 ''","40° 42' 87''","-117° 51' 52 ''","77","100%"
