ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-28,"Bryce Fire - AZA3S",Wildfire,Arizona,"3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-07-29,"Bryce Fire - AZA3S",Wildfire,Arizona,"3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-07-30,"Bryce Fire - AZA3S",Wildfire,Arizona,"3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-07-31,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-01,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-02,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-03,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 1 week ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-04,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 2 weeks ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-05,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 2 weeks ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-06,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 2 weeks ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-07,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 2 weeks ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
2025-08-08,"Bryce Fire - AZA3S","Wildfire","Arizona, United States","3,294 Acres","2 months 2 weeks ago","Tue, 05/20/2025 - 19:24","Arizona Mountain Standard Time","Wildfire","Human Caused","Wed, 05/07/2025 - 19:11","1.5 miles S/SE of Eden","Jacob Pace, DFFM","32° 56' 30.8'', -109° 53' 35.5 ''","32° 56' 30.8''","-109° 53' 35.5 ''","147","100%"
