ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"Cherry Fire - IDPDS",Wildfire,Idaho,"113 Acres","5 days 7 hours ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75"
2025-07-27,"Cherry Fire - IDPDS",Wildfire,Idaho,"113 Acres","5 days 21 hours ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75"
2025-07-28,"Cherry Fire - IDPDS",Wildfire,Idaho,"113 Acres","6 days 21 hours ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-07-29,"Cherry Fire - IDPDS",Wildfire,Idaho,"113 Acres","1 week ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-07-30,"Cherry Fire - IDPDS",Wildfire,Idaho,"113 Acres","1 week 1 day ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-07-31,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","1 week 2 days ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-01,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","1 week 3 days ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-02,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","1 week 4 days ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-03,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","1 week 5 days ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-04,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","1 week 6 days ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-05,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","2 weeks ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
2025-08-06,"Cherry Fire - IDPDS","Wildfire","Idaho","113 Acres","2 weeks 1 day ago","Mon, 07/21/2025 - 14:13","Pacific Standard Time","Wildfire","Under investigation","Mon, 07/14/2025 - 20:39","Approximately 1 mile northeast of Deary","Type 3 North Idaho Incident Management Team, Mike McManus, Incident Commander","46° 49' 37'', -116° 32' 09 ''","46° 49' 37''","-116° 32' 09 ''","75","100%"
