ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-06,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","14 hours 26 minutes ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-07,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","1 day 14 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-08,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","2 days 14 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-09,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","3 days 20 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-10,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","4 days 14 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-11,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","5 days 14 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-12,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","6 days 14 hours ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-13,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","1 week ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-14,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","1 week 1 day ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-15,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","1 week 2 days ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
2025-08-16,"Elkhorn Fire - IDPAF","Wildfire","Idaho","26,048 Acres","1 week 3 days ago","Mon, 10/07/2024 - 13:15","","Wildfire","Undetermined - Under Investigation","Mon, 07/24/2023 - 17:34","Krassel Ranger District, Payette National Forest","Bea Day, Incident Commander
NIMO Team 4","45° 30' 15'', -115° 18' 55 ''","45° 30' 15''","-115° 18' 55 ''","105",""
