ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"Horse Fire - WYBTF",Wildfire,Wyoming,"2,802 Acres","1 day 3 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''",""
2025-07-27,"Horse Fire - WYBTF",Wildfire,Wyoming,"2,802 Acres","1 day 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''",""
2025-07-28,"Horse Fire - WYBTF",Wildfire,Wyoming,"2,802 Acres","2 days 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-07-29,"Horse Fire - WYBTF",Wildfire,Wyoming,"2,802 Acres","3 days 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-07-30,"Horse Fire - WYBTF",Wildfire,Wyoming,"2,802 Acres","4 days 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-07-31,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","5 days 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-01,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","6 days 17 hours ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-02,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-03,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 1 day ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-04,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 2 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-05,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 3 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-06,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 4 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-07,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 5 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-08,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","1 week 6 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-09,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
