ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-03,"Jakes Fire - NVEKD","Wildfire","Nevada","1,200 Acres","14 hours 14 minutes ago","Sat, 08/02/2025 - 21:10","","Wildfire","","","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","148","10%"
2025-08-04,"Jakes Fire - NVEKD","Wildfire","Nevada","3,271 Acres","14 hours 43 minutes ago","Sun, 08/03/2025 - 20:46","","Wildfire","","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","186","12%"
2025-08-05,"Jakes Fire - NVEKD","Wildfire","Nevada","47,385 Acres","14 hours 24 minutes ago","Mon, 08/04/2025 - 21:05","","Wildfire","","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","287","15%"
2025-08-06,"Jakes Fire - NVEKD","Wildfire","Nevada","66,293 Acres","14 hours 16 minutes ago","Tue, 08/05/2025 - 21:01","","Wildfire","","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","457","18%"
2025-08-07,"Jakes Fire - NVEKD","Wildfire","Nevada","69,064 Acres","20 hours 45 minutes ago","Wed, 08/06/2025 - 14:42","","Wildfire","","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","457","20%"
2025-08-08,"Jakes Fire - NVEKD","Wildfire","Nevada","72,893 Acres","21 hours 48 minutes ago","Thu, 08/07/2025 - 13:39","","Wildfire","","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","457","32%"
2025-08-09,"Jakes Fire - NVEKD","Wildfire","Nevada","82,195 Acres","4 hours 21 minutes ago","Sat, 08/09/2025 - 13:15","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","505","65%"
2025-08-10,"Jakes Fire - NVEKD","Wildfire","Nevada","82,195 Acres","22 hours 3 minutes ago","Sat, 08/09/2025 - 13:15","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","505","65%"
2025-08-11,"Jakes Fire - NVEKD","Wildfire","Nevada","82,216 Acres","11 hours 33 minutes ago","Sun, 08/10/2025 - 23:53","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","261","85%"
2025-08-12,"Jakes Fire - NVEKD","Wildfire","Nevada","82,216 Acres","1 day 11 hours ago","Sun, 08/10/2025 - 23:53","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","261","85%"
2025-08-13,"Jakes Fire - NVEKD","Wildfire","Nevada","82,217 Acres","22 minutes 12 seconds ago","Wed, 08/13/2025 - 16:58","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","","92%"
2025-08-14,"Jakes Fire - NVEKD","Wildfire","Nevada","82,217 Acres","18 hours 25 minutes ago","Wed, 08/13/2025 - 16:58","","Wildfire","Under investigation","Fri, 08/01/2025 - 20:43","4 Mile SW of Midas, NV","","41° 12' 49.2'', -116° 51' 09.6 ''","41° 12' 49.2''","-116° 51' 09.6 ''","","92%"
