ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
7/27/2025,Lake Spokane Fire - WAWAS,Wildfire,Washington,"2,556 Acres",10 hours 28 minutes ago,"Sat, 07/26/2025 - 11:15",Pacific Standard Time,Wildfire,Under Investigation; Human Caused,"Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA",John Szulc Incident Commander - Northwest Complex Incident Management Team 2,"47° 50' 29.6'', -117° 44' 39.0 ''",47° 50' 29.6'',-117° 44' 39.0 '',510,
7/27/2025,Lake Spokane Fire - WAWAS,Wildfire,Washington,"2,550 Acres",7 seconds ago,"Sun, 07/27/2025 - 11:23",Pacific Standard Time,Wildfire,Under Investigation; Human Caused,"Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA",John Szulc Incident Commander - Northwest Complex Incident Management Team 2,"47° 50' 29.6'', -117° 44' 39.0 ''",47° 50' 29.6'',-117° 44' 39.0 '',483,
7/28/2025,Lake Spokane Fire - WAWAS,Wildfire,Washington,"2,531 Acres",1 hour 31 minutes ago,"Mon, 07/28/2025 - 09:56",Pacific Standard Time,Wildfire,Under Investigation; Human Caused,"Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA",John Szulc Incident Commander - Northwest Complex Incident Management Team 2,"47° 50' 29.6'', -117° 44' 39.0 ''",47° 50' 29.6'',-117° 44' 39.0 '',439,83%
2025-07-29,"Lake Spokane Fire - WAWAS",Wildfire,Washington,"2,512 Acres","36 minutes 8 seconds ago","Tue, 07/29/2025 - 10:44","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","374","90%"
2025-07-30,"Lake Spokane Fire - WAWAS",Wildfire,Washington,"2,506 Acres","1 hour 28 minutes ago","Wed, 07/30/2025 - 09:57","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","277","100%"
2025-07-31,"Lake Spokane Fire - WAWAS","Wildfire","Washington","2,506 Acres","1 hour 52 minutes ago","Thu, 07/31/2025 - 09:29","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","262","100%"
2025-08-01,"Lake Spokane Fire - WAWAS","Wildfire","Washington","2,506 Acres","18 hours 26 minutes ago","Thu, 07/31/2025 - 16:59","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","262","100%"
2025-08-02,"Lake Spokane Fire - WAWAS","Wildfire","Washington","2,506 Acres","1 day 18 hours ago","Thu, 07/31/2025 - 16:59","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","262","100%"
2025-08-03,"Lake Spokane Fire - WAWAS","Wildfire","Washington","2,506 Acres","2 days 18 hours ago","Thu, 07/31/2025 - 16:59","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","262","100%"
2025-08-04,"Lake Spokane Fire - WAWAS","Wildfire","Washington","2,506 Acres","3 days 18 hours ago","Thu, 07/31/2025 - 16:59","Pacific Standard Time","Wildfire","Under Investigation; Human Caused","Sat, 07/19/2025 - 13:18","12 Miles NW of Spokane, WA","John Szulc Incident Commander - Northwest Complex Incident Management Team 2","47° 50' 29.6'', -117° 44' 39.0 ''","47° 50' 29.6''","-117° 44' 39.0 ''","262","100%"
