ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
7/27/2025,Paradise Fire - NMGNF,Wildfire,New Mexico,727 Acres,1 month 2 weeks ago,"Mon, 06/09/2025 - 12:55",,Wildfire,Human,"Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''",34° 08' 46.7'',-108° 28' 43.4 '',115,
7/27/2025,Paradise Fire - NMGNF,Wildfire,New Mexico,727 Acres,1 month 2 weeks ago,"Mon, 06/09/2025 - 12:55",,Wildfire,Human,"Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''",34° 08' 46.7'',-108° 28' 43.4 '',115,
7/28/2025,Paradise Fire - NMGNF,Wildfire,New Mexico,727 Acres,1 month 2 weeks ago,"Mon, 06/09/2025 - 12:55",,Wildfire,Human,"Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-07-29,"Paradise Fire - NMGNF",Wildfire,New Mexico,"727 Acres","1 month 2 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-07-30,"Paradise Fire - NMGNF",Wildfire,New Mexico,"727 Acres","1 month 2 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''",34° 08' 46.7'',-108° 28' 43.4 '',115,92%
2025-07-31,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-01,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-02,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-03,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-04,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-05,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-06,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-07,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","1 month 3 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-17,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-18,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-19,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-20,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-21,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-22,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-23,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 1 week ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-24,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 2 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
2025-08-25,"Paradise Fire - NMGNF","Wildfire","New Mexico","727 Acres","2 months 2 weeks ago","Mon, 06/09/2025 - 12:55","","Wildfire","Human","Mon, 05/26/2025 - 18:56","13 miles south of Quemado, New Mexico","Xavier De La Torre IC5
Diego Abeyta IC5(t)","34° 08' 46.7'', -108° 28' 43.4 ''","34° 08' 46.7''","-108° 28' 43.4 ''","115","92%"
