ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"Ranch Fire - AZA3S",Wildfire,Arizona,"2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56"
2025-07-27,"Ranch Fire - AZA3S",Wildfire,Arizona,"2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56"
2025-07-28,"Ranch Fire - AZA3S",Wildfire,Arizona,"2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-07-29,"Ranch Fire - AZA3S",Wildfire,Arizona,"2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-07-30,"Ranch Fire - AZA3S",Wildfire,Arizona,"2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-07-31,"Ranch Fire - AZA3S","Wildfire","Arizona, United States","2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-08-01,"Ranch Fire - AZA3S","Wildfire","Arizona, United States","2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-08-02,"Ranch Fire - AZA3S","Wildfire","Arizona, United States","2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-08-03,"Ranch Fire - AZA3S","Wildfire","Arizona, United States","2,751 Acres","1 month 2 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
2025-08-04,"Ranch Fire - AZA3S","Wildfire","Arizona, United States","2,751 Acres","1 month 3 weeks ago","Thu, 06/12/2025 - 16:27","Arizona Mountain Standard Time","Wildfire","Unknown","Wed, 06/04/2025 - 10:00","19 miles southeast of Patagonia","Jacob Pace, ICT4 - AZ Dept. of Forestry and Fire Management","31° 21' 21'', -110° 37' 44 ''","31° 21' 21''","-110° 37' 44 ''","56","100%"
