ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
7/27/2025,Stronghold Fire - AZA3S,Wildfire,Arizona,"2,138 Acres",2 months 2 weeks ago,"Fri, 05/09/2025 - 21:36",Arizona Mountain Standard Time,Wildfire,Under Investigation,"Mon, 04/28/2025 - 11:30",16 miles south of Cochise,"Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''",31° 56' 42'',-109° 55' 51 '',36,
7/27/2025,Stronghold Fire - AZA3S,Wildfire,Arizona,"2,138 Acres",2 months 2 weeks ago,"Fri, 05/09/2025 - 21:36",Arizona Mountain Standard Time,Wildfire,Under Investigation,"Mon, 04/28/2025 - 11:30",16 miles south of Cochise,"Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''",31° 56' 42'',-109° 55' 51 '',36,
7/28/2025,Stronghold Fire - AZA3S,Wildfire,Arizona,"2,138 Acres",2 months 2 weeks ago,"Fri, 05/09/2025 - 21:36",Arizona Mountain Standard Time,Wildfire,Under Investigation,"Mon, 04/28/2025 - 11:30",16 miles south of Cochise,"Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-07-29,"Stronghold Fire - AZA3S",Wildfire,Arizona,"2,138 Acres","2 months 2 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-07-30,"Stronghold Fire - AZA3S",Wildfire,Arizona,"2,138 Acres","2 months 2 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''",31° 56' 42'',-109° 55' 51 '',36,100%
2025-07-31,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-01,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-02,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-03,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-04,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-05,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
2025-08-06,"Stronghold Fire - AZA3S","Wildfire","Arizona, United States","2,138 Acres","2 months 3 weeks ago","Fri, 05/09/2025 - 21:36","Arizona Mountain Standard Time","Wildfire","Under Investigation","Mon, 04/28/2025 - 11:30","16 miles south of Cochise","Michael Wales, USFS
Sam Long, USFS","31° 56' 42'', -109° 55' 51 ''","31° 56' 42''","-109° 55' 51 ''","36","100%"
